Year,Host,Teams,Champion,Runner-Up,Attendance,AttendanceAvg,Matches,Top Scorer Name,Top Scorer Goals
2022,Qatar,32,Argentina,France,3404252,53191,64,Kylian Mbappé,8
2018,Russia,32,France,Croatia,3031768,47371,64,Harry Kane,6
2014,Brazil,32,Germany,Argentina,3429873,53592,64,James Rodrí­guez,6
2010,South Africa,32,Spain,Netherlands,3178856,49670,64,"Wesley Sneijder, Thomas Müller...",5
2006,Germany,32,Italy,France,3352605,52384,64,Miroslav Klose,5
2002,"Korea Republic, Japan",32,Brazil,Germany,2705337,42271,64,Ronaldo,8
1998,France,32,France,Brazil,2903477,45367,64,Davor Å uker,6
1994,United States,24,Brazil,Italy,3587538,68991,52,"Hristo Stoichkov, Oleg Salenko",6
1990,Italy,24,West Germany,Argentina,2516215,48389,52,Salvatore Schillaci,6
1986,Mexico,24,Argentina,West Germany,2394031,46039,52,Gary Lineker,6
1982,Spain,24,Italy,West Germany,2109723,40572,52,Paolo Rossi,6
1978,Argentina,16,Argentina,Netherlands,1545791,40679,38,Mario Kempes,6
1974,Germany,16,West Germany,Netherlands,1865753,49099,38,Grzegorz Lato,7
1970,Mexico,16,Brazil,Italy,1603975,50124,32,Gerd Müller,10
1966,England,16,England,West Germany,1563135,48848,32,Eusébio,9
1962,Chile,16,Brazil,Czechoslovakia,893172,27912,32,"Leonel Sánchez, Flórián Albert...",4
1958,Sweden,16,Brazil,Sweden,819810,23423,35,Just Fontaine,13
1954,Switzerland,16,Germany,Hungary,768607,29562,26,Sándor Kocsis,11
1950,Brazil,15,Uruguay,Brazil,1045246,47511,22,Ademir,8
1938,France,16,Italy,Hungary,375700,20872,18,Leí´nidas,7
1934,Italy,16,Italy,Czechoslovakia,363000,21353,17,OldÅich Nejedlí½,5
1930,Uruguay,13,Uruguay,Argentina,590549,32808,18,Guillermo Stábile,8
